model_key,model_label,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_gamma,param_kernel,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_samples,param_num_leaves,param_reg_alpha,param_depth,param_iterations,param_l2_leaf_reg
lgbm,LightGBM,0.44123096466064454,0.0058890317230014,0.013162469863891602,0.0006877082408864121,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 31, 'reg_alpha': 0.1}",0.5861059806794632,0.5782516753110188,0.5639007613290222,0.5537822877576672,0.5482457827801909,0.5660572975714724,0.014305447329415709,269,0.8428392476657619,0.8528680220765019,0.8507849292556227,0.8528586660625737,0.8520093769497525,0.8502720484020425,0.0037936144843188475,,,,,,100.0,0.05,,,20.0,31.0,0.1,,,
lgbm,LightGBM,0.6422271728515625,0.11479080666998616,0.013170385360717773,0.0004019425166223511,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 31, 'reg_alpha': 1.0}",0.5886487517536892,0.5797597118888236,0.5567516739719678,0.5677442309142131,0.5730657137329791,0.5731940164523346,0.010789109787565025,174,0.8338611916815583,0.8392714041683059,0.8414915695194862,0.836879554332894,0.8353893622164072,0.8373786163837303,0.002723141593917231,,,,,,100.0,0.05,,,20.0,31.0,1.0,,,
lgbm,LightGBM,0.8882231712341309,0.029820453528571322,0.014406204223632812,0.0013208604631837428,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 63, 'reg_alpha': 0.0}",0.5889609494694873,0.5963661404954274,0.5538551387374522,0.5681884700275814,0.5598515417122206,0.5734444480884338,0.01650635785317994,167,0.9149234902322657,0.9151472035018603,0.9199480394231988,0.9195501280095888,0.9201415845133525,0.9179420891360532,0.002382046621635562,,,,,,100.0,0.05,,,20.0,63.0,0.0,,,
lgbm,LightGBM,0.9056234359741211,0.030648868360439237,0.015160179138183594,0.00175276449411827,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 63, 'reg_alpha': 0.1}",0.5932757393836161,0.6019397769694567,0.5544770986624934,0.555615529720627,0.5612564411400158,0.5733129171752418,0.02015616812964572,171,0.9123541841291899,0.9127608964323787,0.9167147981649412,0.9217429027261953,0.9179569736741735,0.9163059510253756,0.0034824517006424834,,,,,,100.0,0.05,,,20.0,63.0,0.1,,,
lgbm,LightGBM,0.889061975479126,0.017460099418762306,0.016131258010864256,0.002444746177609966,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 63, 'reg_alpha': 1.0}",0.60380736442456,0.5866937521599572,0.5526229789492517,0.5703910715139916,0.5686458079482899,0.57643219499921,0.01742814517734967,110,0.8939826064801885,0.8979797780443692,0.9021792718627322,0.8993512299931172,0.8953327639830095,0.8977651300726833,0.00290758745264799,,,,,,100.0,0.05,,,20.0,63.0,1.0,,,
lgbm,LightGBM,1.0750285148620606,0.023211240764073465,0.014110469818115234,0.0001326362305662155,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 127, 'reg_alpha': 0.0}",0.5872418080965205,0.597764421759583,0.5645387888512595,0.5599334772018482,0.5543618612158774,0.5727680714250177,0.016766293914276736,181,0.9301234612807987,0.9426913413816204,0.931520050784709,0.9372963643057176,0.9327325649585285,0.9348727565422749,0.004590882374308823,,,,,,100.0,0.05,,,20.0,127.0,0.0,,,
lgbm,LightGBM,1.4915620326995849,0.16113578610155443,0.0189150333404541,0.0031808757907646847,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 127, 'reg_alpha': 0.1}",0.6020797289396147,0.6101671259324182,0.5717244725818719,0.5640557425010116,0.5763252346142889,0.5848704609138411,0.017973149815128268,10,0.9264834053538246,0.9307310656606134,0.9301311744828146,0.932295383585801,0.9311367852355449,0.9301555628637196,0.0019676467724392822,,,,,,100.0,0.05,,,20.0,127.0,0.1,,,
lgbm,LightGBM,1.0353485107421876,0.06780473306212735,0.013620138168334961,0.0006158664520427735,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 127, 'reg_alpha': 1.0}",0.6022959543834465,0.5864848342321511,0.5463784510435106,0.5640557425010116,0.5645706021651459,0.5727571168650532,0.019491331895632902,182,0.8987336546754922,0.9037799439220952,0.9067739838674218,0.9057766577208328,0.9027795757107229,0.9035687631793131,0.00279978307646775,,,,,,100.0,0.05,,,20.0,127.0,1.0,,,
lgbm,LightGBM,0.915033483505249,0.017934663769384022,0.01652698516845703,0.0029410917754700366,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 31, 'reg_alpha': 0.0}",0.58838846045122,0.5950160650327508,0.568796458994521,0.5654637179350595,0.561310929411698,0.5757951263650498,0.013368229899036632,122,0.9101318851906041,0.9083697186078882,0.9099584501530033,0.9139522526853169,0.9085679637451298,0.9101960540763884,0.002007773923043461,,,,,,200.0,0.05,,,20.0,31.0,0.0,,,
lgbm,LightGBM,1.0285290241241456,0.1136526998063967,0.015673017501831053,0.0018306701884788158,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 31, 'reg_alpha': 0.1}",0.5927849484408653,0.5797993440939414,0.5550431664894783,0.5486640037448016,0.5541963306474765,0.5660975586833127,0.01713314535536662,267,0.9033728943541174,0.9143524597970213,0.9093564266334796,0.9075688908875296,0.912561706808122,0.9094424756960539,0.003852144564902335,,,,,,200.0,0.05,,,20.0,31.0,0.1,,,
